Distance from Lap Line (m),Elevation (m),UTMX,UTMY,LongX,LatY,rayon_de_courbure,rayon_de_courbure_clipped
200.0,206.3998,436025.4383,296053.82,18.09713412,50.52805165,14.88467364911187,14.88467364911187
201.0,206.4254,436024.4418,296053.8998,18.09712005,50.52805226,108.65608995239559,108.65608995239559
202.0,206.4183,436023.4457,296053.9888,18.09710598,50.52805295,11.834467278572083,11.834467278572083
203.0,206.4233,436022.4608,296054.1614,18.09709205,50.52805439,233.85263643084787,233.85263643084787
204.0,206.3958,436021.4767,296054.3382,18.09707813,50.52805587,14.915708421647837,14.915708421647837
205.0,206.4,436020.5065,296054.5805,18.0970644,50.52805795,141.649098817424,141.649098817424
206.0,206.4212,436019.5382,296054.8296,18.09705069,50.52806008,14.285541299226466,14.285541299226466
207.0,206.3916,436018.5895,296055.1458,18.09703725,50.52806282,200.11099546464493,200.11099546464493
208.0,206.4068,436017.6425,296055.4667,18.09702383,50.52806561,29.424456060543836,29.424456060543836
209.0,206.4114,436016.7069,296055.8196,18.09701057,50.52806868,150.39217214226346,150.39217214226346
210.0,206.3862,436015.7737,296056.1787,18.09699734,50.52807181,23.85667014580385,23.85667014580385
211.0,206.3666,436014.8563,296056.5766,18.09698433,50.52807528,212.70305486401358,212.70305486401358
212.0,206.3643,436013.9408,296056.9788,18.09697134,50.5280788,32.23676684817172,32.23676684817172
213.0,206.3663,436013.0382,296057.4092,18.09695853,50.52808257,360.5826992103793,250.00516283577699
214.0,206.3447,436012.1368,296057.8421,18.09694573,50.52808637,51.04412887117255,51.04412887117255
215.0,206.3677,436011.244,296058.2926,18.09693306,50.52809032,798.482441234193,250.00516283577699
216.0,206.3551,436010.3518,296058.7442,18.09692039,50.52809429,88.02082471606167,88.02082471606167
217.0,206.3813,436009.4648,296059.2059,18.0969078,50.52809834,2494.071598140692,250.00516283577699
218.0,206.3407,436008.5779,296059.668,18.0968952,50.5281024,208.87463275245022,208.87463275245022
219.0,206.334,436007.6933,296060.1343,18.09688264,50.5281065,7402.417366720343,250.00516283577699
220.0,206.35,436006.8086,296060.6005,18.09687007,50.5281106,588.2721585933804,250.00516283577699
221.0,206.3687,436005.9231,296061.0652,18.0968575,50.52811468,21518.231626602363,250.00516283577699
222.0,206.3366,436005.0377,296061.5299,18.09684493,50.52811876,1866.7422858632956,250.00516283577699
